parameter,metric,pearson_r,abs_r
baseline_scale,rms_SAN YSIDRO,0.32549422942994305,0.32549422942994305
baseline_scale,corr_SAN YSIDRO,0.043509675961740164,0.043509675961740164
baseline_scale,peak_ratio_SAN YSIDRO,0.3200368420290549,0.3200368420290549
baseline_scale,rms_NESTOR - BES,0.3589608987146053,0.3589608987146053
baseline_scale,corr_NESTOR - BES,0.02056297082088182,0.02056297082088182
baseline_scale,peak_ratio_NESTOR - BES,0.37872381303049246,0.37872381303049246
baseline_scale,rms_IB CIVIC CTR,0.2744733711517035,0.2744733711517035
baseline_scale,corr_IB CIVIC CTR,0.069813508004568,0.069813508004568
baseline_scale,peak_ratio_IB CIVIC CTR,0.2669895338146043,0.2669895338146043
Q10,rms_SAN YSIDRO,0.07760882051364659,0.07760882051364659
Q10,corr_SAN YSIDRO,0.5444980103946826,0.5444980103946826
Q10,peak_ratio_SAN YSIDRO,0.08950667006458408,0.08950667006458408
Q10,rms_NESTOR - BES,0.02914985745162901,0.02914985745162901
Q10,corr_NESTOR - BES,-0.2979282655814006,0.2979282655814006
Q10,peak_ratio_NESTOR - BES,0.04209919429633601,0.04209919429633601
Q10,rms_IB CIVIC CTR,0.04021794108521667,0.04021794108521667
Q10,corr_IB CIVIC CTR,0.06743018342812938,0.06743018342812938
Q10,peak_ratio_IB CIVIC CTR,0.053897374811418215,0.053897374811418215
T_ref_c,rms_SAN YSIDRO,-0.3132832400049251,0.3132832400049251
T_ref_c,corr_SAN YSIDRO,0.15863741385447053,0.15863741385447053
T_ref_c,peak_ratio_SAN YSIDRO,-0.31350213641217156,0.31350213641217156
T_ref_c,rms_NESTOR - BES,-0.3500135388877054,0.3500135388877054
T_ref_c,corr_NESTOR - BES,0.11440220564032069,0.11440220564032069
T_ref_c,peak_ratio_NESTOR - BES,-0.30857522326893794,0.30857522326893794
T_ref_c,rms_IB CIVIC CTR,-0.35078138832559497,0.35078138832559497
T_ref_c,corr_IB CIVIC CTR,0.00878143510137154,0.00878143510137154
T_ref_c,peak_ratio_IB CIVIC CTR,-0.3442737231546947,0.3442737231546947
substrate_alpha,rms_SAN YSIDRO,0.1672161351436524,0.1672161351436524
substrate_alpha,corr_SAN YSIDRO,-0.029612229251367566,0.029612229251367566
substrate_alpha,peak_ratio_SAN YSIDRO,0.15969560097351712,0.15969560097351712
substrate_alpha,rms_NESTOR - BES,0.16250544949572118,0.16250544949572118
substrate_alpha,corr_NESTOR - BES,0.12871322529723989,0.12871322529723989
substrate_alpha,peak_ratio_NESTOR - BES,0.1661612340922645,0.1661612340922645
substrate_alpha,rms_IB CIVIC CTR,0.09291577904555288,0.09291577904555288
substrate_alpha,corr_IB CIVIC CTR,-0.02971535753257326,0.02971535753257326
substrate_alpha,peak_ratio_IB CIVIC CTR,0.0882149242761828,0.0882149242761828
substrate_threshold,rms_SAN YSIDRO,0.3344124845556536,0.3344124845556536
substrate_threshold,corr_SAN YSIDRO,-0.01571668855556217,0.01571668855556217
substrate_threshold,peak_ratio_SAN YSIDRO,0.3301363511953876,0.3301363511953876
substrate_threshold,rms_NESTOR - BES,0.4023892953900577,0.4023892953900577
substrate_threshold,corr_NESTOR - BES,0.006181720854883544,0.006181720854883544
substrate_threshold,peak_ratio_NESTOR - BES,0.38346165526913223,0.38346165526913223
substrate_threshold,rms_IB CIVIC CTR,0.3800115539078268,0.3800115539078268
substrate_threshold,corr_IB CIVIC CTR,-0.03172337829167492,0.03172337829167492
substrate_threshold,peak_ratio_IB CIVIC CTR,0.36758667148840046,0.36758667148840046
diel_amplitude,rms_SAN YSIDRO,0.23433798453730734,0.23433798453730734
diel_amplitude,corr_SAN YSIDRO,-0.2570201934324296,0.2570201934324296
diel_amplitude,peak_ratio_SAN YSIDRO,0.24183448912142924,0.24183448912142924
diel_amplitude,rms_NESTOR - BES,0.18443589049642597,0.18443589049642597
diel_amplitude,corr_NESTOR - BES,-0.3321893735270577,0.3321893735270577
diel_amplitude,peak_ratio_NESTOR - BES,0.1770541142469812,0.1770541142469812
diel_amplitude,rms_IB CIVIC CTR,0.21856575939019196,0.21856575939019196
diel_amplitude,corr_IB CIVIC CTR,-0.03661520064728339,0.03661520064728339
diel_amplitude,peak_ratio_IB CIVIC CTR,0.2183625814736548,0.2183625814736548
diel_phase_hours,rms_SAN YSIDRO,0.004411803513154831,0.004411803513154831
diel_phase_hours,corr_SAN YSIDRO,0.0696415817363224,0.0696415817363224
diel_phase_hours,peak_ratio_SAN YSIDRO,-0.021179074801899466,0.021179074801899466
diel_phase_hours,rms_NESTOR - BES,0.0780872593315919,0.0780872593315919
diel_phase_hours,corr_NESTOR - BES,-0.009724446805642774,0.009724446805642774
diel_phase_hours,peak_ratio_NESTOR - BES,0.13121504286361688,0.13121504286361688
diel_phase_hours,rms_IB CIVIC CTR,0.036991810902374994,0.036991810902374994
diel_phase_hours,corr_IB CIVIC CTR,-0.23736471744483278,0.23736471744483278
diel_phase_hours,peak_ratio_IB CIVIC CTR,0.05880495270850521,0.05880495270850521
f_arch_drain,rms_SAN YSIDRO,0.30008536130339664,0.30008536130339664
f_arch_drain,corr_SAN YSIDRO,-0.06668365430640893,0.06668365430640893
f_arch_drain,peak_ratio_SAN YSIDRO,0.3141601505622294,0.3141601505622294
f_arch_drain,rms_NESTOR - BES,0.1752479159353909,0.1752479159353909
f_arch_drain,corr_NESTOR - BES,0.18503551732371087,0.18503551732371087
f_arch_drain,peak_ratio_NESTOR - BES,0.2288708178921772,0.2288708178921772
f_arch_drain,rms_IB CIVIC CTR,0.02540532257206428,0.02540532257206428
f_arch_drain,corr_IB CIVIC CTR,0.3019386495330002,0.3019386495330002
f_arch_drain,peak_ratio_IB CIVIC CTR,0.012083821934679339,0.012083821934679339
f_arch_channel,rms_SAN YSIDRO,0.10109974076606347,0.10109974076606347
f_arch_channel,corr_SAN YSIDRO,-0.08155096062488633,0.08155096062488633
f_arch_channel,peak_ratio_SAN YSIDRO,0.06881037595635574,0.06881037595635574
f_arch_channel,rms_NESTOR - BES,0.14735492650714085,0.14735492650714085
f_arch_channel,corr_NESTOR - BES,0.3185857208957267,0.3185857208957267
f_arch_channel,peak_ratio_NESTOR - BES,0.11991937453860492,0.11991937453860492
f_arch_channel,rms_IB CIVIC CTR,0.04100199330953271,0.04100199330953271
f_arch_channel,corr_IB CIVIC CTR,-0.12509907961295832,0.12509907961295832
f_arch_channel,peak_ratio_IB CIVIC CTR,0.03703259248252958,0.03703259248252958
f_arch_estuary,rms_SAN YSIDRO,0.03486176665916899,0.03486176665916899
f_arch_estuary,corr_SAN YSIDRO,-0.015116752596103011,0.015116752596103011
f_arch_estuary,peak_ratio_SAN YSIDRO,0.038941717633562516,0.038941717633562516
f_arch_estuary,rms_NESTOR - BES,0.15475556476736807,0.15475556476736807
f_arch_estuary,corr_NESTOR - BES,-0.6350313814697406,0.6350313814697406
f_arch_estuary,peak_ratio_NESTOR - BES,0.05482678023462652,0.05482678023462652
f_arch_estuary,rms_IB CIVIC CTR,0.41200075617017623,0.41200075617017623
f_arch_estuary,corr_IB CIVIC CTR,-0.34621688137471696,0.34621688137471696
f_arch_estuary,peak_ratio_IB CIVIC CTR,0.42154186319942333,0.42154186319942333
f_arch_bay,rms_SAN YSIDRO,-0.09756397555337919,0.09756397555337919
f_arch_bay,corr_SAN YSIDRO,0.0138410845448481,0.0138410845448481
f_arch_bay,peak_ratio_SAN YSIDRO,-0.09051530824284595,0.09051530824284595
f_arch_bay,rms_NESTOR - BES,-0.06415381907732175,0.06415381907732175
f_arch_bay,corr_NESTOR - BES,-0.011839660712630002,0.011839660712630002
f_arch_bay,peak_ratio_NESTOR - BES,-0.055740994504161825,0.055740994504161825
f_arch_bay,rms_IB CIVIC CTR,-0.04963038404500622,0.04963038404500622
f_arch_bay,corr_IB CIVIC CTR,-0.03671980793038621,0.03671980793038621
f_arch_bay,peak_ratio_IB CIVIC CTR,-0.050826226668676984,0.050826226668676984
